tiempo,frame_number,periodo_oscilador,periodo_fuerza,X_avg,P_avg,delta_X,delta_P,producto_incerteza,alpha_real,alpha_imag,alpha_magnitud,alpha_fase,fuerza_externa,F0_amplitud,nu_frecuencia,omega_oscilador,energia_cinetica,energia_potencial,energia_total,trabajo_instantaneo,potencia,pureza,entropia,Sigma_XX,Sigma_XP,Sigma_PP,det_Sigma,traza_Sigma,lambda_1,lambda_2,theta_ellipse,excentricidad,area_elipse,force_activa,metodo,n_basis
25.519999999998962,1594,4,2,0.5955961886961434,1.5053751160754767,0.7071067811839257,0.7071067811892726,0.500000000000073,0.4211501038759055,1.0644609528064555,1.1447464916060293,1.194048710741084,0.4419198361105181,0.8,0.7,1.0,1.3830771200515544,0.42736740999283207,1.8104445300443865,0.2632057700966489,0.6652551245809268,0.9999999997998541,2.2792511849149534e-12,0.4999999999962921,2.0090595853616833e-12,0.5000000000038538,0.25000000000007294,1.0000000000001459,0.5000000000043544,0.4999999999957915,0.0,2.083870786957445e-05,1.5707963267951257,1,split_operator,30
25.53599999999896,1595,4,2,0.571378414673746,1.521782055717958,0.7071067811838812,0.7071067811893171,0.500000000000073,0.40402555163942483,1.0760624110861725,1.1494115707309234,1.2116165990865644,0.44936083365898133,0.8,0.7,1.0,1.4079103125545456,0.41323664637565616,1.8211469589302016,0.2567550807525416,0.6838292532047,0.9999999997998541,2.2792511849149534e-12,0.4999999999962291,1.886935052652916e-12,0.5000000000039169,0.250000000000073,1.000000000000146,0.5000000000043551,0.4999999999957909,0.0,2.083882507855883e-05,1.5707963267951257,1,split_operator,30
25.55199999999896,1596,4,2,0.5469002881888139,1.537918479616069,0.7071067811838398,0.7071067811893589,0.5000000000000733,0.38671690241118734,1.0874725858486274,1.1541865479994142,1.2291318693121134,0.4567454639736995,0.8,0.7,1.0,1.4325966249742885,0.3995499626085892,1.8321465875828777,0.24979422587614974,0.7024372895259678,0.9999999997998534,2.2894364276463854e-12,0.4999999999961708,1.7633672300121361e-12,0.5000000000039759,0.25000000000007333,1.0000000000001468,0.5000000000043558,0.49999999999579087,0.0,2.0838904993397475e-05,1.5707963267951268,1,split_operator,30
25.567999999998957,1597,4,2,0.5221661778479212,1.5537793550865373,0.7071067811838012,0.707106781189397,0.5000000000000729,0.3692272452625258,1.098687918449351,1.1590702743107173,1.2465919974357493,0.46407280073632917,0.8,0.7,1.0,1.4571151421485826,0.3863287586422115,1.8434439007907941,0.24232312060366895,0.7210667370412966,0.9999999997998543,2.276003796115687e-12,0.49999999999611616,1.6373569167171809e-12,0.5000000000040297,0.2500000000000729,1.0000000000001459,0.5000000000043551,0.49999999999579076,0.0,2.0838841061551075e-05,1.5707963267951253,1,split_operator,30
25.583999999998955,1598,4,2,0.4971805323365355,1.5693597051643633,0.7071067811837656,0.7071067811894324,0.5000000000000727,0.3515597258891018,1.109704889642642,1.164061503084785,1.2639945581958312,0.471341924815355,0.8,0.7,1.0,1.4814449420988285,0.3735942408652533,1.8550391829640818,0.23434202909222546,0.739705024159829,0.9999999997998545,2.2727562380750395e-12,0.49999999999606576,1.5100143357926754e-12,0.5000000000040798,0.2500000000000728,1.0000000000001457,0.500000000004355,0.49999999999579064,0.0,2.0838841061551075e-05,1.570796326795125,1,split_operator,30
25.599999999998953,1599,4,2,0.4719478795163952,1.584654609991884,0.7071067811837329,0.707106781189465,0.5000000000000727,0.33371754597265474,1.1205200205637849,1.1691588929543648,1.281337227274682,0.47855192438138405,0.8,0.7,1.0,1.505565116486328,0.36136740048802074,1.8669325169743487,0.22585156595028452,0.7583395130914476,0.9999999997998545,2.2727562380750395e-12,0.4999999999960196,1.3810064203312322e-12,0.500000000004126,0.2500000000000728,1.0000000000001457,0.5000000000043548,0.49999999999579076,0.0,2.0838819750892024e-05,1.570796326795125,1,split_operator,30
25.61599999999895,1600,4,2,0.44647282550076206,1.5996592081950558,0.7071067811837032,0.7071067811894943,0.5000000000000725,0.3157039625271069,1.131129873702227,1.1743610105657174,1.2986177831805754,0.485701895021525,0.8,0.7,1.0,1.5294547911837002,0.3496689919533057,1.8791237831370058,0.21685269742133478,0.7769575088089707,0.9999999997998552,2.262568456707172e-12,0.49999999999597744,1.2503331703328513e-12,0.5000000000041673,0.2500000000000724,1.0000000000001448,0.500000000004354,0.4999999999957908,0.0,2.0838729180347918e-05,1.570796326795124,1,split_operator,30
25.63199999999895,1601,4,2,0.42076005370775676,1.6143686982466041,0.7071067811836764,0.7071067811895219,0.500000000000073,0.29752228722917073,1.141531053865473,1.1796663334762483,1.3158341087921377,0.49279093985283623,0.8,0.7,1.0,1.5530931469413207,0.33851951139604697,1.8916126583373676,0.2073467423191753,0.7955462680779438,0.9999999997998541,2.2792511849149534e-12,0.4999999999959396,1.1186607196123077e-12,0.5000000000042064,0.250000000000073,1.000000000000146,0.5000000000043552,0.4999999999957908,0.0,2.0838846389212432e-05,1.5707963267951257,1,split_operator,30
25.647999999998948,1602,4,2,0.39481432389199417,1.6287783398156606,0.7071067811836522,0.7071067811895461,0.500000000000073,0.279175885733611,1.1517202091334204,1.1850732531373223,1.332984192571002,0.4998181696348297,0.8,0.7,1.0,1.57645944012845,0.327939175173099,1.9043986153015489,0.19733537271330934,0.8140930085475202,0.9999999997998539,2.2827204493353624e-12,0.4999999999959055,9.859890681696015e-13,0.5000000000042406,0.25000000000007305,1.000000000000146,0.5000000000043556,0.4999999999957905,0.0,2.083892097632843e-05,1.5707963267951262,1,split_operator,30
25.663999999998946,1603,4,2,0.36864047115473314,1.6428834551035396,0.7071067811836316,0.7071067811895672,0.5000000000000733,0.2606681769733156,1.1616940318028977,1.1905800779506868,1.3500661294502312,0.5067827028810161,0.8,0.7,1.0,1.5995330235286072,0.3179478984845299,1.917480922013137,0.1868206143631269,0.8325849178958743,0.9999999997998534,2.2894364276463854e-12,0.4999999999958762,8.522071937022702e-13,0.5000000000042704,0.2500000000000733,1.0000000000001465,0.500000000004356,0.4999999999957906,0.0,2.0838942286883967e-05,1.5707963267951268,1,split_operator,30
25.679999999998945,1604,4,2,0.3422434049327671,1.656679430165287,0.7071067811836138,0.7071067811895844,0.5000000000000729,0.24200263244433312,1.1714492593221397,1.196185036387087,1.3670781214075363,0.5136836659694773,0.8,0.7,1.0,1.6222933671685373,0.3085652741079125,1.93085864127645,0.17580484689974013,0.8510091630235294,0.9999999997998543,2.276003796115687e-12,0.49999999999585104,7.173150962103136e-13,0.5000000000042948,0.2500000000000729,1.0000000000001459,0.5000000000043553,0.49999999999579053,0.0,2.08388836828038e-05,1.5707963267951253,1,split_operator,30
25.695999999998943,1605,4,2,0.3156281079662868,1.6701617162166538,0.707106781183599,0.7071067811895995,0.5000000000000732,0.22318277547604115,1.180982675214958,1.2018862801559338,1.3840184777337026,0.5205201932524526,0.8,0.7,1.0,1.6447200791600372,0.2998105512671041,1.9445306304271412,0.16429080375451757,0.8693528992879405,0.9999999997998539,2.2827204493353624e-12,0.49999999999583017,5.820899318109696e-13,0.5000000000043161,0.2500000000000731,1.0000000000001463,0.5000000000043558,0.4999999999957904,0.0,2.0838947614519445e-05,1.5707963267951262,1,split_operator,30
25.71199999999894,1606,4,2,0.2887996352459513,1.683325830926147,0.7071067811835875,0.7071067811896096,0.5000000000000722,0.2042121804866136,1.1902911099943583,1.2076818874151831,1.4008856150078626,0.5272914271649238,0.8,0.7,1.0,1.6667929265337667,0.2917026146570042,1.958495541190771,0.1522815718335471,0.8876032797726293,0.9999999997998559,2.252379142817452e-12,0.4999999999958139,4.455880109333066e-13,0.5000000000043303,0.2500000000000721,1.0000000000001443,0.5000000000043536,0.4999999999957906,0.0,2.0838718524963906e-05,1.5707963267951228,1,split_operator,30
25.72799999999894,1607,4,2,0.26176311293940413,1.6961673596917923,0.7071067811835788,0.7071067811896189,0.5000000000000726,0.18509447222395276,1.199371442065348,1.2135698660109258,1.4176780567923253,0.5339965183321882,0.8,0.7,1.0,1.688491856044085,0.28425996364576445,1.9727518196898495,0.13978059093743717,0.9057474645841175,0.9999999997998548,2.269286465929703e-12,0.49999999999580164,3.093081346605686e-13,0.5000000000043436,0.25000000000007266,1.0000000000001452,0.5000000000043547,0.49999999999579053,0.0,2.0838830406224272e-05,1.5707963267951246,1,split_operator,30
25.743999999998938,1608,4,2,0.2345237372974917,1.7086819569023022,0.7071067811835733,0.7071067811896246,0.5000000000000727,0.1658333249922688,1.2082205986167178,1.219548156736638,1.434394433060591,0.5406346256764014,0.8,0.7,1.0,1.7097970149239163,0.27750069167588837,1.9872977065998048,0.12679165292606012,0.9237726301698972,0.9999999997998545,2.2727562380750395e-12,0.4999999999957938,1.724176357242868e-13,0.5000000000043516,0.2500000000000727,1.0000000000001454,0.5000000000043551,0.49999999999579037,0.0,2.0838878355151978e-05,1.570796326795125,1,split_operator,30
25.759999999998936,1609,4,2,0.20708677354042432,1.720865347182261,0.7071067811835707,0.7071067811896268,0.5000000000000725,0.14643246186447692,1.216835556501519,1.225614636602408,1.4510334793729476,0.5472049165220828,0.8,0.7,1.0,1.7306887715685393,0.2714424658855866,2.002131237454126,0.11331890062801536,0.9416659786506142,0.999999999799855,2.265816524025428e-12,0.49999999999579026,3.547162563677375e-14,0.5000000000043547,0.2500000000000725,1.000000000000145,0.5000000000043548,0.49999999999579015,0.0,2.0838878355151978e-05,1.5707963267951244,1,split_operator,30
25.775999999998934,1610,4,2,0.17945755472414832,1.7327133266210404,0.7071067811835716,0.7071067811896261,0.5000000000000726,0.1268956538806012,1.2252133431060388,1.231767122105011,1.4675940358146635,0.553706566700564,0.8,0.7,1.0,1.751147736127253,0.2661025069716811,2.017250243098934,0.09936682649478673,0.9594147471596491,0.9999999997998548,2.269286465929703e-12,0.4999999999957915,-1.0164091790443308e-13,0.5000000000043539,0.25000000000007266,1.0000000000001452,0.500000000004355,0.49999999999579037,0.0,2.0838867699844247e-05,1.5707963267951246,1,split_operator,30
25.791999999998932,1611,4,2,0.1516414805871858,1.7442217639850777,0.7071067811835756,0.7071067811896227,0.500000000000073,0.10722671923236728,1.2333510372070102,1.2380033724901338,1.4840750457122482,0.5601387606533719,0.8,0.7,1.0,1.7711547809817825,0.26149756931523543,2.0326523502970177,0.0849402709997486,0.9770062171832395,0.9999999997998541,2.2792511849149534e-12,0.49999999999579703,-2.384759056894836e-13,0.500000000004349,0.250000000000073,1.000000000000146,0.5000000000043556,0.49999999999579037,0.0,2.083893163160892e-05,1.5707963267951257,1,split_operator,30
