tiempo,frame_number,periodo_oscilador,periodo_fuerza,X_avg,P_avg,delta_X,delta_P,producto_incerteza,alpha_real,alpha_imag,alpha_magnitud,alpha_fase,fuerza_externa,F0_amplitud,nu_frecuencia,omega_oscilador,energia_cinetica,energia_potencial,energia_total,trabajo_instantaneo,potencia,pureza,entropia,Sigma_XX,Sigma_XP,Sigma_PP,det_Sigma,traza_Sigma,lambda_1,lambda_2,theta_ellipse,excentricidad,area_elipse,force_activa,metodo
28.52799999999863,1782,4,3,-2.1313311283835845,0.552549181925957,0.7071067811865476,0.7071067811865476,0.5000000000000001,-1.5070786938340086,0.3907112734789235,1.5569012456260491,2.887926535899089,0.3485142166495116,0.8,0.7,1.0,0.40265529922352217,2.5212861894084218,2.923941488631944,-0.7427991986293246,0.1925712452992534,0.9999999998,0.0,0.5,-3.834696963016004e-18,0.5,0.25,1.0,0.5,0.5,0.0,2.0000000827403692e-05,1.5707963267948966,1,analitico
28.54399999999863,1783,4,3,-2.100676660827629,0.5806243255392036,0.7071067811865476,0.7071067811865476,0.5000000000000001,-1.4854027119515296,0.41056339791063634,1.5410981540372068,2.8719265358990866,0.3404274546552547,0.8,0.7,1.0,0.41856230370392755,2.456421216672959,2.8749835203768863,-0.7151280086992495,0.1976604612542351,0.9999999998,0.0,0.5,-4.987751611488903e-18,0.5,0.25,1.0,0.5,0.5,0.0,2.0000000827403692e-05,1.5707963267948966,1,analitico
28.559999999998627,1784,4,3,-2.0692232507103747,0.6077288779845729,0.7071067811865476,0.7071067811865476,0.5000000000000001,-1.4631617923661773,0.42972921074578335,1.5249621717303017,2.8559265358990844,0.332297989887475,0.8,0.7,1.0,0.4346671945681939,2.390842430640205,2.825509625208399,-0.6875987268394842,0.20194708455084412,0.9999999998,0.0,0.5,4.7957119934408405e-18,0.5,0.25,1.0,0.5,0.5,0.0,2.0000000827403692e-05,1.5707963267948966,1,analitico
28.575999999998626,1785,4,3,-2.0369999699633325,0.6338384906906602,0.7071067811865476,0.7071067811865476,0.5000000000000001,-1.440376492037866,0.4481914949444122,1.5084959578851433,2.8399265358990817,0.32412684209557313,0.8,0.7,1.0,0.4508756161405071,2.324684438815309,2.775560054955816,-0.6602463676129923,0.20544406838618803,0.9999999998,0.0,0.5,1.0002237099150518e-17,0.5,0.25,1.0,0.5,0.5,0.0,2.0000000827403692e-05,1.5707963267948966,1,analitico
28.591999999998624,1786,4,3,-2.0040366435113066,0.6589296843070502,0.7071067811865476,0.7071067811865476,0.5000000000000001,-1.4170679003731725,0.46593364809862614,1.4917022486738183,2.8239265358990795,0.3159150362576135,0.8,0.7,1.0,0.46709416443049445,2.258081434268032,2.7251755986985264,-0.6331053088964606,0.20816579510907962,0.9999999998,0.0,0.5,6.764253215902571e-18,0.5,0.25,1.0,0.5,0.5,0.0,2.0000000827403692e-05,1.5707963267948966,1,analitico
28.607999999998622,1787,4,3,-1.9703638231153875,0.6829798721109076,0.7071067811865476,0.7071067811865475,0.5,-1.3932576207295415,0.4829396989835437,1.47458385674578,2.807926535899077,0.3076636024517527,0.8,0.7,1.0,0.4832307528543158,2.191166797720943,2.674397550575259,-0.6062092319602882,0.2101280478556792,0.9999999998000002,0.0,0.5,9.86127093487025e-18,0.49999999999999994,0.24999999999999994,1.0,0.5,0.49999999999999994,0.0,2.0000006378517816e-05,1.5707963267948963,1,analitico
28.62399999999862,1788,4,3,-1.9360127604860666,0.7059673826204274,0.7071067811865476,0.7071067811865476,0.5000000000000001,-1.368967751403385,0.49919432354742216,1.4571436706942829,2.791926535899074,0.2993735757270276,0.8,0.7,1.0,0.49919497266196844,2.12407270438244,2.6232676770444083,-0.5795910627598673,0.21134797968172797,0.9999999998,0.0,0.5,1.0815009629605259e-17,0.5,0.25,1.0,0.5,0.5,0.0,2.0000000827403692e-05,1.5707963267948966,1,analitico
28.63999999999862,1789,4,3,-1.9010153796906883,0.7278714813923293,0.7071067811865476,0.7071067811865476,0.5000000000000001,-1.344220866119205,0.5146828603248139,1.4393846545042772,2.775926535899071,0.29104599597352004,0.8,0.7,1.0,0.514898446712132,2.056929736910266,2.571828183622398,-0.5532829145430558,0.21184408024255194,0.9999999998,0.0,0.5,2.7969522894006614e-18,0.5,0.25,1.0,0.5,0.5,0.0,2.0000000827403692e-05,1.5707963267948966,1,analitico
28.655999999998617,1790,4,3,-1.8654042488801923,0.7486723919813268,0.7071067811865476,0.7071067811865476,0.5000000000000001,-1.319039994037382,0.5293913252571492,1.4213098469818808,2.759926535899068,0.2826819077919147,0.8,0.7,1.0,0.5302551752575207,1.9898665058701372,2.520121681127658,-0.5273160318765965,0.21163614007641765,0.9999999998,0.0,0.5,-2.8382898714530386e-18,0.5,0.25,1.0,0.5,0.5,0.0,2.0000000827403692e-05,1.5707963267948966,1,analitico
28.671999999998615,1791,4,3,-1.829212551360777,0.7683513160402675,0.7071067811865476,0.7071067811865476,0.5000000000000001,-1.2934485992987512,0.5433064259056812,1.4029223611655446,2.7439265358990643,0.2742823603624657,0.8,0.7,1.0,0.5451818724304055,1.9230092790279019,2.4681911514583073,-0.501720736191882,0.21074521255113146,0.9999999998,0.0,0.5,7.210979859259357e-18,0.5,0.25,1.0,0.5,0.5,0.0,2.0000000827403692e-05,1.5707963267948966,1,analitico
28.687999999998613,1792,4,3,-1.7924740560368004,0.7868904525404348,0.7071067811865476,0.7071067811865476,0.5000000000000001,-1.267470560124577,0.5564155750422926,1.384225383719051,2.7279265358990608,0.26584840731338844,0.8,0.7,1.0,0.5595982921496452,1.8564816207825094,2.4160799129321546,-0.47652637294795275,0.20919357353798607,0.9999999998,0.0,0.5,-2.792693936115066e-18,0.5,0.25,1.0,0.5,0.5,0.0,2.0000000827403692e-05,1.5707963267948966,1,analitico
28.70399999999861,1793,4,3,-1.7552230872518528,0.8042730160923068,0.7071067811865476,0.7071067811865476,0.5000000000000001,-1.2411301474909722,0.5687069036042274,1.3652221743064643,2.7119265358990576,0.2573811065886944,0.8,0.7,1.0,0.573427542207108,1.7904040430109627,2.3638315852180707,-0.4517612605069064,0.20700467888126475,0.9999999998,0.0,0.5000000000000001,6.105583594572966e-18,0.5,0.25000000000000006,1.0,0.5000000000000001,0.5,0.0,2.0000011929630398e-05,1.5707963267948966,1,analitico
28.71999999999861,1794,4,3,-1.7174944940555792,0.8204832543479055,0.7071067811865475,0.7071067811865476,0.5,-1.2144520033972586,0.5801692729994108,1.345916064949178,2.6959265358990536,0.2488815203154836,0.8,0.7,1.0,0.5865963853326649,1.7248936685556149,2.3114900538882797,-0.4274526408140249,0.20420311973550234,0.9999999998000002,0.0,0.49999999999999994,-1.8902872526096354e-19,0.5,0.24999999999999994,1.0,0.5,0.49999999999999994,0.0,2.0000006378517816e-05,1.5707963267948963,1,analitico
