tiempo,frame_number,periodo_numero,X_avg,P_avg,delta_X,delta_P,producto_incerteza,n_promedio,n_varianza,mandel_Q,fano_F,energia_total,energia_cinetica,energia_potencial,pureza,entropia,fase,Sigma_XX,Sigma_XP,Sigma_PP,det_Sigma,traza_Sigma,lambda_1,lambda_2,theta_ellipse,excentricidad,area_elipse,prob_n0,prob_n1,prob_n2,prob_n3,prob_n4,prob_n5
7.408000000000006,463,1,0.589755740065433,1.2335183162328454,0.6799506712971923,0.7383839733523021,0.502064678355986,0.9846153846153843,1.1536094674556214,0.1716346153671842,1.1716346152656216,1.4846153846153842,1.0333891642927235,0.40507237416881453,1.0011410842397432,0.0,1.0660749916107823,0.46233291539750254,0.05136641316364876,0.5452108921035332,0.24943043285140107,1.007543807501036,0.569769617021661,0.4377741904793748,1.1248146928204186,0.6400473802127363,1.5690059585087022,0.3846153846153845,0.3846153846153845,0.13846153846153847,0.06153846153846151,0.01538461538461538,0.01538461538461538
7.424000000000006,464,1,0.5699448019524505,1.242796118496281,0.6787567205137706,0.7394816575537402,0.5019281447612638,0.9846153846153844,1.1536094674556208,0.17163461536718339,1.171634615265621,1.484615384615384,1.0456876570039246,0.3927738814576134,1.0011410842397432,0.0,1.0545267105001073,0.4607106856426088,0.05001429447751027,0.546833121858427,0.24943043285140107,1.007543807501036,0.5697696170216612,0.4377741904793747,1.1408146928204195,0.6400473802127368,1.5690059585087022,0.3846153846153845,0.3846153846153845,0.1384615384615384,0.06153846153846152,0.015384615384615377,0.01538461538461538
7.440000000000006,465,1,0.549987961082799,1.251755771740648,0.6775932015689355,0.7405479462456136,0.5017902538118653,0.9846153846153844,1.1536094674556208,0.17163461536718339,1.171634615265621,1.484615384615384,1.0576518863873108,0.3808096520742273,1.0011410842397428,0.0,1.044552042882336,0.45913254681244015,0.04861096552399369,0.5484112606885962,0.2494304328514013,1.0075438075010363,0.5697696170216614,0.437774190479375,1.1568146928204155,0.6400473802127368,1.569005958508703,0.38461538461538436,0.3846153846153845,0.1384615384615384,0.06153846153846152,0.015384615384615377,0.01538461538461538
7.456000000000006,466,1,0.5298903262987533,1.2603949823436467,0.6764614658524617,0.7415818853759671,0.5016515692310589,0.9846153846153844,1.1536094674556212,0.17163461536718386,1.1716346152656214,1.4846153846153844,1.0692696021174077,0.3691919363441302,1.0011410842397437,0.0,1.0362581552069734,0.4576001147832612,0.047157863189325355,0.5499436927177741,0.24943043285140085,1.0075438075010352,0.5697696170216605,0.4377741904793747,1.1728146928204215,0.6400473802127358,1.5690059585087015,0.3846153846153845,0.38461538461538464,0.1384615384615384,0.06153846153846152,0.01538461538461538,0.015384615384615377
7.472000000000006,467,1,0.5096570424850586,1.268711538714543,0.6753628348018356,0.7425825535719679,0.5015126584547501,0.9846153846153842,1.1536094674556212,0.1716346153671841,1.1716346152656216,1.484615384615384,1.0805289086684438,0.3579326297930941,1.0011410842397432,0.0,1.0297549802432087,0.45611495863157137,0.04565647532332884,0.5514288488694645,0.24943043285140107,1.007543807501036,0.5697696170216611,0.4377741904793748,1.188814692820417,0.6400473802127364,1.5690059585087022,0.3846153846153845,0.38461538461538436,0.1384615384615384,0.06153846153846152,0.015384615384615384,0.01538461538461538
7.488000000000006,468,1,0.48929328925187043,1.276703311860326,0.6742985978240625,0.7435490625866858,0.5013740903155984,0.9846153846153842,1.1536094674556217,0.17163461536718455,1.171634615265622,1.484615384615384,1.091418277494332,0.3470432609672057,1.001141084239743,0.0,1.0251534217004534,0.4546785990274969,0.04410833921598767,0.5528652084735393,0.24943043285140118,1.0075438075010361,0.5697696170216614,0.43777419047937477,1.2048146928204237,0.6400473802127371,1.5690059585087026,0.3846153846153845,0.3846153846153845,0.13846153846153839,0.06153846153846152,0.015384615384615384,0.015384615384615384
7.504000000000006,469,1,0.4688042796088038,1.2843682559307168,0.673270010231978,0.7444805577201246,0.501236432713737,0.9846153846153847,1.1536094674556212,0.17163461536718358,1.1716346152656212,1.4846153846153844,1.1019265588328895,0.3365349796286486,1.0011410842397437,0.0,1.0225628893106649,0.4532925066777677,0.04251504002340378,0.5542513008232677,0.24943043285140085,1.0075438075010354,0.5697696170216606,0.43777419047937477,1.2208146928204204,0.640047380212736,1.5690059585087015,0.3846153846153845,0.38461538461538464,0.13846153846153847,0.061538461538461535,0.015384615384615384,0.01538461538461538
7.520000000000006,470,1,0.448195258630433,1.2917044087418912,0.6722782912007751,0.745376218215474,0.5011002502835948,0.9846153846153842,1.1536094674556217,0.17163461536718455,1.171634615265622,1.484615384615384,1.1120429931222202,0.32641854533931747,1.0011410842397432,0.0,1.0220880360311635,0.4519581008198342,0.04087820914473017,0.5555857066812018,0.24943043285140112,1.007543807501036,0.5697696170216612,0.4377741904793747,1.2368146928204211,0.6400473802127368,1.5690059585087024,0.3846153846153845,0.38461538461538436,0.13846153846153847,0.06153846153846152,0.01538461538461538,0.01538461538461538
7.536000000000006,471,1,0.4274715021135762,1.2987098922787963,0.6713246217506829,0.7462352576314913,0.5009661020664843,0.9846153846153842,1.1536094674556212,0.1716346153671841,1.1716346152656216,1.484615384615384,1.1217572220175704,0.31670431644396735,1.0011410842397435,0.0,1.0238245800937351,0.4506767477686975,0.039199522551762844,0.5568670597323382,0.249430432851401,1.0075438075010357,0.5697696170216608,0.4377741904793749,1.2528146928204178,0.640047380212736,1.5690059585087022,0.38461538461538464,0.3846153846153845,0.13846153846153839,0.06153846153846151,0.015384615384615384,0.01538461538461538
7.552000000000006,472,1,0.40663831522672234,1.3053829131759054,0.670410142761816,0.7470569241919366,0.5008345391987193,0.9846153846153844,1.1536094674556212,0.17163461536718386,1.1716346152656214,1.484615384615384,1.1310592989973651,0.3074022394641729,1.0011410842397437,0.0,1.0278541285880531,0.44944975951791855,0.037480699072891865,0.5580940479831169,0.24943043285140085,1.0075438075010354,0.5697696170216606,0.4377741904793748,1.2688146928204185,0.6400473802127358,1.5690059585087015,0.38461538461538464,0.3846153846153845,0.1384615384615384,0.06153846153846152,0.01538461538461538,0.01538461538461538
7.568000000000006,473,1,0.3857010311519376,1.3117217631763118,0.6695359530273596,0.7478405011128914,0.5007061026250779,0.9846153846153844,1.1536094674556212,0.17163461536718386,1.1716346152656214,1.484615384615384,1.1399396995475763,0.2985218389139613,1.001141084239744,0.0,1.0342379858275874,0.4482783923962546,0.03572349863317248,0.5592654151047805,0.24943043285140074,1.007543807501035,0.5697696170216603,0.43777419047937477,1.2848146928204145,0.6400473802127353,1.5690059585087013,0.38461538461538464,0.3846153846153845,0.1384615384615384,0.06153846153846152,0.015384615384615384,0.015384615384615377
7.584000000000006,474,1,0.36466500971960286,1.3177248195690336,0.6687031073513009,0.748585306908805,0.5005813208474451,0.9846153846153844,1.1536094674556208,0.17163461536718339,1.171634615265621,1.484615384615384,1.148389330913996,0.29007220754754176,1.0011410842397437,0.0,1.0430100382762182,0.4471638457812855,0.03392972045231191,0.5603799617197498,0.24943043285140085,1.0075438075010352,0.5697696170216604,0.4377741904793749,1.3008146928204212,0.6400473802127352,1.5690059585087015,0.3846153846153845,0.3846153846153845,0.1384615384615384,0.06153846153846152,0.015384615384615377,0.01538461538461538
7.600000000000006,475,1,0.34353563603632065,1.3233905456044188,0.6679126146969818,0.7492906956780369,0.5004607077184381,0.9846153846153843,1.1536094674556214,0.1716346153671842,1.1716346152656216,1.484615384615384,1.1563995414124189,0.28206199704911916,1.0011410842397437,0.0,1.0541689640865388,0.44610726087135893,0.032101201202432594,0.5614365466296765,0.2494304328514009,1.0075438075010354,0.5697696170216605,0.4377741904793749,1.3168146928204154,0.6400473802127356,1.5690059585087017,0.38461538461538464,0.3846153846153845,0.13846153846153839,0.061538461538461535,0.015384615384615384,0.01538461538461538
7.616000000000006,476,1,0.32231831910635916,1.328717490887544,0.6671654363927272,0.7499560573686554,0.5003447602897282,0.9846153846153844,1.1536094674556212,0.17163461536718386,1.1716346152656214,1.484615384615384,1.1639621292872144,0.27449940917432347,1.001141084239743,0.0,1.0676702164684861,0.44510971951709816,0.030239813127470705,0.562434087983938,0.24943043285140118,1.0075438075010361,0.5697696170216614,0.4377741904793747,1.3328146928204234,0.6400473802127372,1.5690059585087026,0.3846153846153845,0.3846153846153845,0.1384615384615384,0.061538461538461535,0.015384615384615387,0.015384615384615384
7.632000000000006,477,1,0.30101849044697826,1.33370429174951,0.6664624844008014,0.7505808180251795,0.5002339567246469,0.9846153846153844,1.1536094674556212,0.17163461536718386,1.1716346152656214,1.4846153846153842,1.171069351109205,0.26739218735233294,1.0011410842397432,0.0,1.0834184585160098,0.44417224311368836,0.028347462126172285,0.5633715643873476,0.24943043285140107,1.007543807501036,0.5697696170216611,0.4377741904793749,1.3488146928204199,0.6400473802127363,1.5690059585087022,0.3846153846153845,0.3846153846153845,0.13846153846153847,0.06153846153846152,0.015384615384615373,0.01538461538461538
7.648000000000006,478,1,0.27964160269799243,1.3383496715965295,0.6658046196558344,0.7511644400169548,0.5001287542844765,0.9846153846153844,1.1536094674556212,0.17163461536718386,1.1716346152656214,1.4846153846153842,1.1777139297042618,0.2607476087572761,1.0011410842397435,0.0,1.101261344947558,0.44329579155505033,0.02642608580061062,0.5642480159459853,0.24943043285140096,1.0075438075010357,0.5697696170216608,0.43777419047937477,1.3648146928204208,0.6400473802127362,1.569005958508702,0.3846153846153845,0.3846153846153845,0.13846153846153847,0.06153846153846152,0.01538461538461538,0.015384615384615377
